name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,4/11/2020,13.8,4.3,9.1,13.8,0.5,8.4,-4.9,37.9,0,0,0,,0,0,52.4,23.8,272.3,1012.5,8.5,16,277.5,23.9,9,,2020-04-11T06:22:37,2020-04-11T19:31:53,0.58,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/12/2020,18.2,7.8,12.3,18.2,7.4,12.2,2.6,52.7,0,0,0,,0,0,38.9,16.4,147.7,1020.7,23.3,16,204.1,17.7,8,,2020-04-12T06:21:03,2020-04-12T19:32:56,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/13/2020,18.4,11.9,14.6,18.4,11.9,14.6,12,85.8,29.118,100,75,rain,0,0,60.9,29.8,216.5,1007.9,74,12.2,22.5,1.8,1,,2020-04-13T06:19:30,2020-04-13T19:33:59,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/14/2020,16,8.8,11.8,16,7.6,11.5,0.7,47.8,0,0,0,,0,0,45.6,16.1,255.4,1016.4,24.1,16,219.3,19.1,8,,2020-04-14T06:17:58,2020-04-14T19:35:02,0.73,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/15/2020,12.7,6.1,9.5,12.7,3.8,8.5,-3.7,41.9,0,0,0,,0,0,38.9,18.3,273.7,1014.7,30.4,16,276.2,24,10,,2020-04-15T06:16:27,2020-04-15T19:36:05,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/16/2020,11,5,8.2,11,3.4,6.2,-4.6,41.9,0.23,100,4.17,rain,0,0,81.6,24.2,276.8,1018.7,56,16,231.7,20.2,9,,2020-04-16T06:14:56,2020-04-16T19:37:08,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/17/2020,10,3.3,6.5,10,0,4.2,-3.2,52,0.013,100,4.17,rain,0,0,42.2,28.8,247.5,1022.9,34.3,16,195.3,16.8,8,,2020-04-17T06:13:26,2020-04-17T19:38:10,0.88,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/18/2020,8.8,6.6,7.4,8.2,3.4,5.6,3.6,78,0.669,100,50,rain,0,0,38.9,18.2,34.3,1009.8,71.7,14.7,56.2,4.8,2,,2020-04-18T06:11:56,2020-04-18T19:39:13,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/19/2020,16.2,4.4,10.4,16.2,1.1,9.4,0.1,50.1,0,0,0,,0,0,43.7,25.3,252.4,1011.5,18.4,16,259.1,22.3,9,,2020-04-19T06:10:28,2020-04-19T19:40:16,0.95,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/20/2020,13.8,9.4,11.9,13.8,7.7,11.8,0.8,47.8,0,0,0,,0,0,29.5,16.4,47.9,1004.7,23.6,16,150.7,13.2,6,,2020-04-20T06:09:00,2020-04-20T19:41:19,0.97,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"D9152,72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/21/2020,15,6.6,10.2,15,4.7,9.4,3.9,66.2,1.277,100,16.67,rain,0,0,66.4,23.3,247.7,1002.4,23.5,15.6,148.9,12.9,6,,2020-04-21T06:07:33,2020-04-21T19:42:22,0.99,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/22/2020,12.7,3.3,7.6,12.7,-0.7,6.4,-7.1,36.1,0,0,0,,0,0,60,23.9,279,1011.2,30.8,16,306.5,26.6,10,,2020-04-22T06:06:07,2020-04-22T19:43:25,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/23/2020,11.6,5.6,7.6,11.6,3.2,6.7,-4.5,42.9,0.03,100,8.33,rain,0,0,,12.8,212.4,1017.5,45,16,115.6,9.9,5,,2020-04-23T06:04:42,2020-04-23T19:44:28,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/24/2020,10,6.6,8.4,10,2.8,6,6.6,88.5,1.583,100,62.5,rain,0,0,46.4,32.4,37.4,1008.3,88.9,13.5,36.2,3.1,1,,2020-04-24T06:03:18,2020-04-24T19:45:31,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/25/2020,18.2,7.8,11.8,18.2,7.8,11.8,4.4,64.1,0,0,0,,0,0,32.2,14.8,194.1,1017.2,17,16,274.5,23.9,9,,2020-04-25T06:01:55,2020-04-25T19:46:33,0.03,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
